NOMBRE,TELEFONO,EMAIL,DIRECCION,TIPO DE ESTABLECIMIENTO
HAMBURGUESAS EL CORRAL SUCURSAL SANTA MONICA,3185778732,tortiz@alimentosalconsumidor.com,CL 28 No. 6A 16,RESTAURANTE
LEÑOS & CARBON SUCURSAL JUMBO CHIPICHAPE,6684545,tortiz@alimentosalconsumidor.com,CL 40 No .6A 45 LC 8 - 9,RESTAURANTE
CBC 405,3314367,N/A,CL 13 No. 72 39,RESTAURANTE
CBC 403,6676432,N/A,AV 6 15N 61,RESTAURANTE
KOKORIKO No. 08,4100099,contabilidad@grupoiga.com,CRA 6 No. 10 41,RESTAURANTE
KOKORIKO No. 11,4100099,contabilidad@grupoiga.co,CL 5 No. 45 20 LC 1,RESTAURANTE
KOKORIKO PASEO BOLIVAR AVE. SEXTA-CALI,4100099,contabilidad@grupoiga.co,AV 4N No. 10N - 130,RESTAURANTE
L&C SUCURSAL UNICENTRO II,6684545,tortiz@alimentosalconsumidor.com,CL 5 No. 95 255 LC 382-383-384,RESTAURANTE
L&C SUCURSAL UNICENTRO I,6684545,tortiz@alimentosalconsumidor.com,CL 5 No. 95 255 LC. 132,RESTAURANTE
TIZONES LTDA,6536119,restaurantetizones@hotmail.com,AV 6B No. 28N 57,RESTAURANTE
FRISBY N.27,6679928,epinzon@frisby.com.co,CL 26 No. 5A 86,RESTAURANTE
EL SANDWICH CUBANO # 3,8857234,patricia.avila@sandwichcubano.com,CRA 6 No. 13 79,RESTAURANTE
PACIFICO RESTAURANTE,6533753,gerencia@pacificorestaurante.com,AV 9N No. 12 18,RESTAURANTE
PIZZERIA Y RESTAURANTE SALERNO,8938989,contabledanaro@hotmail.com,CL 3 Oeste No. 3 35,RESTAURANTE
FRISBY No. 45,6592239,epinzon@frisby.com.co,AV 6N No. 35 27,RESTAURANTE
FRISBY H17,5137399,epinzon@frisby.com.co,CRA 42 No. 8A 05,RESTAURANTE
KAREN'S PIZZA # 4,6671009,contabilidad@karenspizza.com,AV 9AN No. 14N 34,RESTAURANTE
KAREN'S PIZZA NO.2,5519130,contabilidad@karenspizza.com,CRA 34 No. 4C 08,RESTAURANTE
EL SANDWICH CUBANO CENTRO COMERCIAL CHIPICHAPE,6592008,marioenrikomaya@hotmail.com,CL 36N AV 6 BIS 40 LC 311,RESTAURANTE DE COMIDA RAPIDA
INVALQUIN SAN FERNANDO CALI,5579033,esquin@hotmail.com,CRA 34 No. 4 12,RESTAURANTE
RESTAURANTE ARGENTINO - HORNEADA,3481404,contacto@elargentino.co,CL 2 Oeste No. 1 38,RESTAURANTE
MES SOLUCIONES GRANADA,3164812661,sandycol4@hotmail.com,CL 10N No. 8N 43,RESTAURANTE
MARCAREM  # 1,6613438,carmen.salazar.1960@hotmail.com,CL 12 No. 6N 16,RESTAURANTE DE COMIDA RAPIDA
BURGER KING CHIPICHAPE,3722040,burgerking@burgerking.com.co,CL 38N No. 6 35 LC 309,RESTAURANTE
PRESTO CLO CAÑAVERALEJO,5933700,N/A,CL 5 No. 56 20 Local 2,RESTAURANTE
PRESTO CLO UNICENTRO,5933700,N/A,CRA. 100 No. 5 169 LC 379,RESTAURANTE
CUBANO LA TERMINAL,6602814,carlosmaya186@gmail.com,CL 30N No. 2A 29 LC 142,RESTAURANTE DE COMIDA RAPIDA
INVERSIONES  JMS FAMILY,6592007,marioenrikomaya@hotmail.com,CL 35AN AV 6 A BISN CENTRO CIAL PACIFIC MALL LOCAL 508,RESTAURANTE DE COMIDA RAPIDA
CUBANO NORTE 1,6602814,carlosmaya186@gmail.com,AV 6N No. 28 37,RESTAURANTE DE COMIDA RAPIDA
LA COMITIVA,5564631,drjcquintero@yahoo.com,CL 4 No. 34 32,RESTAURANTE
PRESTO CENTENARIO,5933700,impuestos@frayco.com..co,AV 4N No. 7N 46 LC 4 231,RESTAURANTE
PRESTO HOME CENTER,5933700,impuestos@frayco.com.co,AV 6AN No. 35 00 LC 3,RESTAURANTE
LEÑOS & CARBON SUCURSAL LEÑOS & CARBON GRANADA,3185778732,tortiz@alimentosalconsumidor.com,AV 9 No. 10N 131 LC 1,RESTAURANTE
STORIA D'AMORE,3235864791,contabilidad@alucan.com.co,AV 9N No.14N 57,RESTAURANTE
STORIA  DAMORE   CHIPICHAPE,3235864791,N/A,CL 38 N No. 6 45 LC 206 207 Y 207 A,RESTAURANTE
ALUAN SAS - STORIA D'AMORE UNICENTRO,6601212,contabilidad@alucan.com.co,CRA 100 No. 5 169 LC 512A Y 512B,RESTAURANTE
TURK HOUSE SAS,3164821111,contabilidad@turkhousenyc.com,CL 1 OESTE No. 2 61,RESTAURANTE
STORIA D'AMORE LYRATA,6601212,contabilidad@alucan.com.co,CL 17A No. 122 211 BL 3,RESTAURANTE
AL PUNTO,8862000,alpunto@emcali.net.co,CRA 1 No. 1 40,RESTAURANTE
ELSA CAFE,3173908986,contable@ip3colombia.com,CRA 3 No. 3 OESTE 08 P 3,RESTAURANTE
HAMBURGUESAS EL CORRAL SUCURSAL COSMOCENTRO,6684545,tortiz@alimentosalconsumidor.com,CL 5 No. 50 103 LC 312 CC COSMOCENTRO,RESTAURANTE
HAMBURGUESAS EL CORRAL SUCURSAL COSMOCENTRO,6684545,tortiz@alimentosalconsumidor.com,CL 5 No. 50 103 LC 312 CC COSMOCENTRO,RESTAURANTE
CLUB SOCIAL Y DEPORTIVO GOBERNACION DEL VALLE,5550853,contabilidad1@clubdeldepartamento.com,KM 14 LA VORAGINE,RESTAURANTE
CBC 406,7434105,N/A,CL 5 No. 50 - 103,RESTAURANTE
RESTAURANTE HOOTERS,6608877,N/A,CL 14 N No. 9 04,RESTAURANTE
MC DONALD'S ROOSEVELT,6538000,daniela.polanco@co.mcd.com,CRA 39 No. 6 25,RESTAURANTE DE COMIDA RAPIDA
MC DONALD'S GUADALUPE,6538000,angela.pabon@co.mcd.com,CRA 56 No. 5 80,RESTAURANTE DE COMIDA RAPIDA
MC DONALD'S CHIPICHAPE,6538000,angela.pabon@co.mcd.com,AV 6 No. 35N 47,RESTAURANTE DE COMIDA RAPIDA
MC DONALD'S PALMETTO,6538000,angela.pabon@co.mcd.com,CL 9 No. 48 51 LC. 214 - 215,RESTAURANTE DE COMIDA RAPIDA
CANTINA LA 15 CALI SUR,6601212,N/A,CL 18 NO.106 42 CENTRO COMERCIAL MEDITERRANEO PLAZA,RESTAURANTE
RESTAURANTE BAR SAN CARLO,5183000,N/A,KR 4 No. 4 55 63,RESTAURANTE
HAMBURGUESAS EL CORRAL SUCURSAL PARQUE DEL PERRO,5565160,tortiz@alimentosalconsumidor.com,CRA 34 No. 3 54,RESTAURANTE
HAMBURGUESAS EL CORRAL SUCURSAL SANTA MONICA,3185778732,tortiz@alimentosalconsumidor.com,CL 28 No. 6A 16,RESTAURANTE
ODISEO BISTRO,3164215170,N/A,AV 9 No. 10N 107,RESTAURANTE
PRESTO CLO JARDIN PLAZA,5933700,N/A,CRA 98 No. 16 50 LC R 7 C.C. JARDIN PLAZA,RESTAURANTE
PRESTO CLO JUMBO,5933700,N/A,CRA. 98 No. 16 50 LC 6 YUMBO C.C. JARDIN P,RESTAURANTE
PRESTO PALMETTO,5933700,N/A,CL 9 48 91 LC 209,RESTAURANTE
PRESTO CLO CAÑASGORDAS,5933700,N/A,CL 18 No. 114B 40,RESTAURANTE
PRESTO CLO CC COSMOCENTRO,5933700,N/A,CL 5 No. 50 - 103 LC 306,RESTAURANTE
EL BORONDO CRAISTO REY,5134444,N/A,CARRETERA VIA CRAISTO REY BELLAVISTA FRENTE AL JARDIN INFANTIL,RESTAURANTE
