NOMBRE,Municipio,Descripcion Tipo Rnt,Categoria,TIPO DE ESTABLECIMIENTO,Estado Rnt,TOTAL
HAMBURGUESAS EL CORRAL SUCURSAL PARQUE ARBOLEDA,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,BAR Y RESTAURANTE,ACTIVO,1
FRISBY G83,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,BAR Y RESTAURANTE,ACTIVO,1
SARKU K11,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,ACTIVO,1
SARKU K09,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,ACTIVO,1
BARRA PEI AEROP MATECAÑA,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,ACTIVO,1
SAYONARA NO. 2 CIRCUNVALAR,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,ACTIVO,1
SAYONARA N. 6 ARBOLEDA,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,ACTIVO,1
SAYONARA NO. 4 PEREIRA PLAZA,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,ACTIVO,1
FRISBY G90,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,ACTIVO,1
SAYONARA NO. 3 VICTORIA,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,ACTIVO,1
LA BODEGA BBC ARBOLEDA,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,BAR Y RESTAURANTE,ACTIVO,1
CREPES Y WAFFLES VICTORIA,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,ACTIVO,1
CREPES Y WAFFLES ARBOLEDA,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,ACTIVO,1
PASTELERIA LUCERNA UNICENTRO,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,ACTIVO,1
FRISBY NO.40,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,ACTIVO,1
PASTELERIA LUCERNA,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,ACTIVO,1
KOKORIKO PEREIRA EL LAGO,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,ACTIVO,1
FRISBY Q48,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,ACTIVO,1
FRISBY ARBOLEDA,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,ACTIVO,1
DON JEDIONDO SOPITAS Y PARRILLA S A S,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,ACTIVO,1
MC DONALD`S CIRCUNVALAR PEREIRA,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,ACTIVO,1
MC DONALD`S ARBOLEDA,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,ACTIVO,1
ARCHIE`S ARBOLEDA,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,BAR Y RESTAURANTE,ACTIVO,1
HAMBURGUESAS EL CORRAL SUCURSAL PARQUE ARBOLEDA,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,ACTIVO,1
FRISBY NO.44,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,ACTIVO,1
FRISBY NO.1,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,ACTIVO,1
PIZZAS PICCOLO CIRCUNVALAR,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,ACTIVO,1
G GRAJALES AUTOSERVICIO PLAZA BOLIVAR,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,ACTIVO,1
G. GRAJALES AUTOSERVICIOS PRINCIPAL,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,ACTIVO,1
HOTEL IMPERIO LA 16,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO,1
DAM HOTEL PEREIRA,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO,1
HOTEL EJECUTIVO,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO,1
HOTEL CUMANDAY (PEREIRA),PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO,1
HOTEL MANANTIAL RESORT Y CENTRO DE CONVENCIONES,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO,1
CASA RURAL BENELUX,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO,1
BEE HOTEL,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO,1
HOTEL CASTELLON PLAZA,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO,1
FINCA JUANCHITO,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,ACTIVO,1
HOTEL GOLDEN SUITE,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO,1
ECOHOTEL BARRANQUERO,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO,1
HOTEL LA COSECHA DEL CAFE,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO,1
CASA BRISA DE MONTOÑA,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO,1
HOTEL DOÑA MERY,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO,1
HOTEL SAN JOAQUIN PLAZA,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO,1
HOTEL EL CABLE,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO,1
HOTEL EJE DEL CAFÉ,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO,1
