NOMBRE,TELEFONO,EMAIL,DIRECCION,TIPO DE ESTABLECIMIENTO,LOACION,PROMEDIO DE GANANCIAS POR DIA,PROMEDIA DE CLIENTES POR DIA
hamburguesas el corral sucursal santa monica,3185778732,tortiz@alimentosalconsumidor.com,cl 28 no. 6a 16,restaurante,cali,1035159,101
leños & carbon sucursal jumbo chipichape,6684545,tortiz@alimentosalconsumidor.com,cl 40 no .6a 45 lc 8 - 9,restaurante,cali,883747,228
cbc 405,3314367,n/a,cl 13 no. 72 39,restaurante,cali,1065252,293
cbc 403,6676432,n/a,av 6 15n 61,restaurante,cali,1164584,180
kokoriko no. 08,4100099,contabilidad@grupoiga.com,cra 6 no. 10 41,restaurante,cali,990355,538
kokoriko no. 11,4100099,contabilidad@grupoiga.co,cl 5 no. 45 20 lc 1,restaurante,cali,800582,193
kokoriko paseo bolivar ave. sexta-cali,4100099,contabilidad@grupoiga.co,av 4n no. 10n - 130,restaurante,cali,1061633,127
l&c sucursal unicentro ii,6684545,tortiz@alimentosalconsumidor.com,cl 5 no. 95 255 lc 382-383-384,restaurante,cali,852204,215
l&c sucursal unicentro i,6684545,tortiz@alimentosalconsumidor.com,cl 5 no. 95 255 lc. 132,restaurante,cali,1158179,113
tizones ltda,6536119,restaurantetizones@hotmail.com,av 6b no. 28n 57,restaurante,cali,1003782,440
frisby n.27,6679928,epinzon@frisby.com.co,cl 26 no. 5a 86,restaurante,cali,1174045,124
el sandwich cubano # 3,8857234,patricia.avila@sandwichcubano.com,cra 6 no. 13 79,restaurante,cali,1193031,280
pacifico restaurante,6533753,gerencia@pacificorestaurante.com,av 9n no. 12 18,restaurante,cali,867265,232
pizzeria y restaurante salerno,8938989,contabledanaro@hotmail.com,cl 3 oeste no. 3 35,restaurante,cali,1148220,164
frisby no. 45,6592239,epinzon@frisby.com.co,av 6n no. 35 27,restaurante,cali,1007354,101
frisby h17,5137399,epinzon@frisby.com.co,cra 42 no. 8a 05,restaurante,cali,911866,492
karen's pizza # 4,6671009,contabilidad@karenspizza.com,av 9an no. 14n 34,restaurante,cali,1189626,411
karen's pizza no.2,5519130,contabilidad@karenspizza.com,cra 34 no. 4c 08,restaurante,cali,1148679,334
el sandwich cubano centro comercial chipichape,6592008,marioenrikomaya@hotmail.com,cl 36n av 6 bis 40 lc 311,restaurante de comida rapida,cali,1090333,1033
invalquin san fernando cali,5579033,esquin@hotmail.com,cra 34 no. 4 12,restaurante,cali,1092024,247
restaurante argentino - horneada,3481404,contacto@elargentino.co,cl 2 oeste no. 1 38,restaurante,cali,959419,193
mes soluciones granada,3164812661,sandycol4@hotmail.com,cl 10n no. 8n 43,restaurante,cali,912007,586
marcarem  # 1,6613438,carmen.salazar.1960@hotmail.com,cl 12 no. 6n 16,restaurante de comida rapida,cali,1148085,814
burger king chipichape,3722040,burgerking@burgerking.com.co,cl 38n no. 6 35 lc 309,restaurante,cali,975443,514
presto clo cañaveralejo,5933700,n/a,cl 5 no. 56 20 local 2,restaurante,cali,827857,183
presto clo unicentro,5933700,n/a,cra. 100 no. 5 169 lc 379,restaurante,cali,989842,476
cubano la terminal,6602814,carlosmaya186@gmail.com,cl 30n no. 2a 29 lc 142,restaurante de comida rapida,cali,845225,1000
inversiones  jms family,6592007,marioenrikomaya@hotmail.com,cl 35an av 6 a bisn centro cial pacific mall local 508,restaurante de comida rapida,cali,1163033,917
cubano norte 1,6602814,carlosmaya186@gmail.com,av 6n no. 28 37,restaurante de comida rapida,cali,985603,1196
la comitiva,5564631,drjcquintero@yahoo.com,cl 4 no. 34 32,restaurante,cali,1134488,184
presto centenario,5933700,impuestos@frayco.com..co,av 4n no. 7n 46 lc 4 231,restaurante,cali,1137706,392
presto home center,5933700,impuestos@frayco.com.co,av 6an no. 35 00 lc 3,restaurante,cali,1073236,263
leños & carbon sucursal leños & carbon granada,3185778732,tortiz@alimentosalconsumidor.com,av 9 no. 10n 131 lc 1,restaurante,cali,824499,474
storia d'amore,3235864791,contabilidad@alucan.com.co,av 9n no.14n 57,restaurante,cali,1151283,307
storia  damore   chipichape,3235864791,n/a,cl 38 n no. 6 45 lc 206 207 y 207 a,restaurante,cali,922288,227
aluan sas - storia d'amore unicentro,6601212,contabilidad@alucan.com.co,cra 100 no. 5 169 lc 512a y 512b,restaurante,cali,931237,545
turk house sas,3164821111,contabilidad@turkhousenyc.com,cl 1 oeste no. 2 61,restaurante,cali,931358,248
storia d'amore lyrata,6601212,contabilidad@alucan.com.co,cl 17a no. 122 211 bl 3,restaurante,cali,1099358,530
al punto,8862000,alpunto@emcali.net.co,cra 1 no. 1 40,restaurante,cali,1156026,171
elsa cafe,3173908986,contable@ip3colombia.com,cra 3 no. 3 oeste 08 p 3,restaurante,cali,962916,165
hamburguesas el corral sucursal cosmocentro,6684545,tortiz@alimentosalconsumidor.com,cl 5 no. 50 103 lc 312 cc cosmocentro,restaurante,cali,1101957,477
hamburguesas el corral sucursal cosmocentro,6684545,tortiz@alimentosalconsumidor.com,cl 5 no. 50 103 lc 312 cc cosmocentro,restaurante,cali,830027,393
club social y deportivo gobernacion del valle,5550853,contabilidad1@clubdeldepartamento.com,km 14 la voragine,restaurante,cali,820188,377
cbc 406,7434105,n/a,cl 5 no. 50 - 103,restaurante,cali,967777,599
restaurante hooters,6608877,n/a,cl 14 n no. 9 04,restaurante,cali,996917,384
mc donald's roosevelt,6538000,daniela.polanco@co.mcd.com,cra 39 no. 6 25,restaurante de comida rapida,cali,1097327,727
mc donald's guadalupe,6538000,angela.pabon@co.mcd.com,cra 56 no. 5 80,restaurante de comida rapida,cali,1197816,1178
mc donald's chipichape,6538000,angela.pabon@co.mcd.com,av 6 no. 35n 47,restaurante de comida rapida,cali,905579,1056
mc donald's palmetto,6538000,angela.pabon@co.mcd.com,cl 9 no. 48 51 lc. 214 - 215,restaurante de comida rapida,cali,1012304,508
cantina la 15 cali sur,6601212,n/a,cl 18 no.106 42 centro comercial mediterraneo plaza,restaurante,cali,937505,249
restaurante bar san carlo,5183000,n/a,kr 4 no. 4 55 63,restaurante,cali,908078,366
hamburguesas el corral sucursal parque del perro,5565160,tortiz@alimentosalconsumidor.com,cra 34 no. 3 54,restaurante,cali,900861,218
hamburguesas el corral sucursal santa monica,3185778732,tortiz@alimentosalconsumidor.com,cl 28 no. 6a 16,restaurante,cali,935987,297
odiseo bistro,3164215170,n/a,av 9 no. 10n 107,restaurante,cali,1157898,286
presto clo jardin plaza,5933700,n/a,cra 98 no. 16 50 lc r 7 c.c. jardin plaza,restaurante,cali,872595,112
presto clo jumbo,5933700,n/a,cra. 98 no. 16 50 lc 6 yumbo c.c. jardin p,restaurante,cali,918461,166
presto palmetto,5933700,n/a,cl 9 48 91 lc 209,restaurante,cali,857701,459
presto clo cañasgordas,5933700,n/a,cl 18 no. 114b 40,restaurante,cali,1046431,264
presto clo cc cosmocentro,5933700,n/a,cl 5 no. 50 - 103 lc 306,restaurante,cali,1115479,303
el borondo craisto rey,5134444,n/a,carretera via craisto rey bellavista frente al jardin infantil,restaurante,cali,1108601,598
hamburguesas el corral sucursal parque arboleda,n/a,n/a,n/a,bar y restaurante,pereira,811344,161
frisby g83,n/a,n/a,n/a,bar y restaurante,pereira,976953,174
sarku k11,n/a,n/a,n/a,restaurante,pereira,923932,132
sarku k09,n/a,n/a,n/a,restaurante,pereira,1075033,397
barra pei aerop matecaña,n/a,n/a,n/a,restaurante,pereira,1008733,337
